"x","y","ECe150","EMv1m","date","survey"
60.69003761,41.53589487,1.8,18.3,"11/03/2008",1
60.69112122,41.53557837,4.19,38.1,"11/03/2008",1
60.6910944,41.53513849,7.92,69.4,"11/03/2008",1
60.69069207,41.5343231,7.43,77.5,"11/03/2008",1
60.68605185,41.53532088,3.25,37.9,"12/03/2008",1
60.68380952,41.53443575,4.25,97,"13/03/2008",1
60.6832999,41.53417289,7.83,132.3,"13/03/2008",1
60.68260789,41.53545499,2.93,39,"13/03/2008",1
60.68628252,41.53331459,4.07,51.7,"11/03/2008",1
60.68671159,41.53321266,1.29,6.1,"11/03/2008",1
60.68654001,41.53365791,6.38,50,"11/03/2008",1
60.68739831,41.53405488,6.58,73.5,"11/03/2008",1
60.68685114,41.53511703,0.99,12.1,"11/03/2008",1
60.68859458,41.53536379,1.27,57.9,"11/03/2008",1
60.68826199,41.53615773,2.22,33,"11/03/2008",1
60.69003761,41.53589487,1.6,48.9,"14/04/2008",2
60.69112122,41.53557837,3.65,90.2,"14/04/2008",2
60.6910944,41.53513849,4.74,116,"14/04/2008",2
60.69069207,41.5343231,4.18,135.8,"14/04/2008",2
60.68605185,41.53532088,3.25,47.6,"12/04/2008",2
60.68380952,41.53443575,3.11,48.2,"12/04/2008",2
60.6832999,41.53417289,4.21,58.5,"12/04/2008",2
60.68260789,41.53545499,2.16,43.8,"12/04/2008",2
60.68628252,41.53331459,5.7,55,"19/04/2008",2
60.68671159,41.53321266,2.36,55.9,"19/04/2008",2
60.68654001,41.53365791,4.83,58.9,"19/04/2008",2
60.68739831,41.53405488,9.53,98.9,"19/04/2008",2
60.68685114,41.53511703,1.56,63.5,"19/04/2008",2
60.68859458,41.53536379,2.96,88.1,"19/04/2008",2
60.68826199,41.53615773,1.46,68.3,"19/04/2008",2
60.68300486,41.53721988,2.28,50,"22/06/2009",3
60.68380952,41.53711259,2.37,57,"22/06/2009",3
60.68436742,41.53691947,3.61,50,"22/06/2009",3
60.68465173,41.536147,1.83,43,"22/06/2009",3
60.68420649,41.5362221,1.34,38,"22/06/2009",3
60.6837666,41.53630257,1.42,65,"22/06/2009",3
60.68351448,41.53634012,2,60,"22/06/2009",3
60.68325162,41.53640449,2.74,52,"22/06/2009",3
60.68282247,41.53650641,2.23,63,"22/06/2009",3
60.68237722,41.53657615,2.94,50,"22/06/2009",3
60.68255961,41.53576612,1.82,55,"22/06/2009",3
60.68215191,41.53553545,2.7,77,"22/06/2009",3
60.6817174,41.53457522,1.07,41,"22/06/2009",3
60.68285465,41.53484344,4.26,80,"22/06/2009",3
60.68291366,41.53500974,2.34,56,"22/06/2009",3
60.68328381,41.53578758,2.23,55,"22/06/2009",3
60.68301558,41.53484881,3.74,80,"22/06/2009",3
60.68355739,41.53411925,6.31,76,"22/06/2009",3
60.68406165,41.53511703,4.61,54,"22/06/2009",3
60.68383634,41.53555691,1.25,61,"22/06/2009",3
60.69689333,41.5340817,4,82,"20/07/2009",4
60.69631934,41.53220952,1.4,38,"20/07/2009",4
60.69049358,41.53575003,4.8,120.5,"20/07/2009",4
60.68929195,41.53305709,2.6,47,"20/07/2009",4
60.68831027,41.53591633,2.1,37,"20/07/2009",4
60.68375043,41.53704822,2.7,66.5,"20/07/2009",4
60.68281174,41.53481126,2.2,74,"20/07/2009",4
60.68157256,41.53732181,2.7,59.5,"20/07/2009",4
60.68066597,41.53507948,2.8,56.5,"20/07/2009",4
60.67950189,41.53810501,1.7,45,"20/07/2009",4
60.67783892,41.53561592,3.3,60,"20/07/2009",4
60.67720056,41.53836787,2,40.5,"20/07/2009",4
60.67605793,41.5360558,10.9,127,"20/07/2009",4
60.6749475,41.53916717,2.9,52.5,"20/07/2009",4
60.67405164,41.53690875,5.6,141.5,"20/07/2009",4
60.68555832,41.54111981,6,141.5,"04/09/2009",5
60.68562269,41.54111981,3.3,195.9,"04/09/2009",5
60.68620741,41.54091597,3.6,111,"04/09/2009",5
60.68068206,41.53807282,3.6,72.9,"04/09/2009",5
60.68177104,41.53747201,2.5,59.9,"04/09/2009",5
60.69689333,41.5340817,3.8,66.8,"16/10/2009",6
60.69631934,41.53220952,1.5,42.7,"16/10/2009",6
60.69270909,41.53496146,1.9,76.7,"16/10/2009",6
60.69192052,41.53262258,1.6,78.7,"16/10/2009",6
60.69049358,41.53575003,5.1,171.4,"16/10/2009",6
60.68929195,41.53305709,3.5,70.2,"16/10/2009",6
60.68831027,41.53591633,3,56.1,"16/10/2009",6
60.68606257,41.53640985,2.6,49.7,"16/10/2009",6
60.68375043,41.53704822,3.4,84.2,"16/10/2009",6
60.68281174,41.53481126,3.2,91.8,"16/10/2009",6
60.68157256,41.53732181,2.4,64.3,"16/10/2009",6
60.68066597,41.53507948,3.1,66.7,"16/10/2009",6
60.67950189,41.53810501,2.2,66.2,"16/10/2009",6
60.67783892,41.53561592,2.6,68.4,"16/10/2009",6
60.6749475,41.53916717,2.5,53.6,"16/10/2009",6
60.67405164,41.53690875,3.8,110.5,"16/10/2009",6
60.69398046,41.53490245,1.3,36.7,"15/04/2010",7
60.69482803,41.53305709,1.35,36.8,"15/04/2010",7
60.69446325,41.53219342,1.47,43.2,"15/04/2010",7
60.69607794,41.53420508,0.6,33.4,"15/04/2010",7
60.6957078,41.53291762,0.73,37.1,"15/04/2010",7
60.69534838,41.53187692,0.84,40.9,"15/04/2010",7
60.69688797,41.53147459,2.35,70.2,"15/04/2010",7
60.69040239,41.53480053,2.42,91,"16/04/2010",7
60.69210827,41.53526187,6.29,141.3,"16/04/2010",7
60.69297194,41.53507948,2.46,51.5,"16/04/2010",7
60.69223166,41.53447866,3.22,121.2,"16/04/2010",7
60.6915772,41.53384566,3.29,76.8,"16/04/2010",7
60.6924355,41.53362572,1.05,50.3,"16/04/2010",7
60.69173276,41.53318584,1.66,78.4,"16/04/2010",7
60.69202244,41.53239191,1.59,66.8,"16/04/2010",7
60.6910944,41.53256893,3.39,75.4,"16/04/2010",7
60.687575,41.53524,3.91,50.7,"17/04/2010",7
60.68773627,41.53323412,1.5,40.9,"17/04/2010",7
60.68003833,41.538046,2.31,47.4,"20/04/2010",7
60.67890108,41.5378046,2.41,53,"20/04/2010",7
60.67801058,41.53735936,6.12,67.9,"20/04/2010",7
60.67724884,41.5356642,2.96,51.3,"20/04/2010",7
60.68531156,41.53666735,1.4,39.8,"21/04/2010",7
60.6843406,41.53414607,3.89,42.3,"21/04/2010",7
60.67582726,41.53893113,3.1,74.2,"22/04/2010",7
60.67532837,41.53764367,5.16,101.4,"22/04/2010",7
60.67489386,41.53656542,6.38,181.6,"22/04/2010",7
60.6951499,41.53449476,1.1,20.6,"10/03/2011",8
60.69409847,41.53355062,1.8,43.4,"10/03/2011",8
60.69635153,41.53393149,0.8,42,"10/03/2011",8
60.69650173,41.53291225,0.8,23,"10/03/2011",8
60.69671631,41.53197348,5.4,84,"10/03/2011",8
60.69271982,41.53428555,3.5,86,"10/03/2011",8
60.69217801,41.53375447,2,53.6,"10/03/2011",8
60.69139481,41.53281033,3.1,78.8,"10/03/2011",8
60.68998396,41.53389394,5.8,132.8,"11/03/2011",8
60.69018245,41.53506339,5.3,148.2,"11/03/2011",8
60.69050968,41.53422654,2.4,113.7,"18/03/2011",8
60.68746269,41.53629184,2.6,33.1,"15/03/2011",8
60.68752706,41.53449476,1.4,26.9,"15/03/2011",8
60.68585336,41.53498828,1.8,38.6,"15/03/2011",8
60.68541348,41.5364635,1.7,25.3,"15/03/2011",8
60.68397582,41.53640985,2.9,72.8,"15/03/2011",8
60.68262935,41.53546572,5,87.2,"15/03/2011",8
60.68086445,41.53608799,3.7,41.7,"15/03/2011",8
60.68104148,41.53736472,8.9,99.3,"15/03/2011",8
60.67973793,41.53774559,4.6,88.2,"16/03/2011",8
60.67862213,41.53697312,3.9,83.4,"16/03/2011",8
60.67761898,41.53612554,3.8,66.8,"16/03/2011",8
60.6777209,41.53735399,4.5,68.1,"18/03/2011",8
60.67674994,41.53635621,8.4,164.4,"16/03/2011",8
60.67631543,41.53764904,0.9,20.7,"16/03/2011",8
60.67592919,41.53729498,1.5,37.5,"18/03/2011",8
60.67504406,41.53693557,9.9,175.8,"16/03/2011",8
60.67448616,41.53790653,1.3,48.5,"16/03/2011",8
60.67572534,41.53739154,1.8,92.4,"18/03/2011",8
